athlete_id,total_starter,name
BIBIK,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
BIBIK,68,IFSC Climbing Worldcup (L) - Valence (FRA) 2007
SINITCYN,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
SINITCYN,90,IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2007
MALAMID,99,IFSC Climbing Worldcup (L) - Imst (AUT) 2007
MALAMID,87,IFSC Climbing Worldcup (L) - Zürich (SUI) 2007
MALAMID,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
MALAMID,57,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007
MALAMID,68,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007
SHARAFUTDINOV,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
SHARAFUTDINOV,90,IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2007
CHERESHNEVA,99,IFSC Climbing Worldcup (L) - Imst (AUT) 2007
CHERESHNEVA,87,IFSC Climbing Worldcup (L) - Zürich (SUI) 2007
CHERESHNEVA,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
CHERESHNEVA,57,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007
CHERESHNEVA,68,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007
CHERESHNEVA,90,IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2007
CHERESHNEVA,68,IFSC Climbing Worldcup (L) - Valence (FRA) 2007
CHERESHNEVA,79,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007
GELMANOV,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
CHERNIKOV,99,IFSC Climbing Worldcup (L) - Imst (AUT) 2007
CHERNIKOV,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
CHERNIKOV,57,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007
TERENTEVA,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
SARKANY,99,IFSC Climbing Worldcup (L) - Imst (AUT) 2007
SARKANY,87,IFSC Climbing Worldcup (L) - Zürich (SUI) 2007
SARKANY,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
SARKANY,57,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007
SARKANY,68,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007
SARKANY,90,IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2007
SARKANY,60,IFSC Climbing Worldcup (L) - Kazo (JPN) 2007
SARKANY,68,IFSC Climbing Worldcup (L) - Valence (FRA) 2007
SARKANY,79,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007
GRAFTIAUX,68,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007
GRAFTIAUX,90,IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2007
FUSELIER,99,IFSC Climbing Worldcup (L) - Imst (AUT) 2007
FUSELIER,87,IFSC Climbing Worldcup (L) - Zürich (SUI) 2007
FUSELIER,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
FUSELIER,90,IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2007
FUSELIER,68,IFSC Climbing Worldcup (L) - Valence (FRA) 2007
FUSELIER,79,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007
MILLET,99,IFSC Climbing Worldcup (L) - Imst (AUT) 2007
MILLET,87,IFSC Climbing Worldcup (L) - Zürich (SUI) 2007
MILLET,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
MILLET,57,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007
MILLET,90,IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2007
MILLET,60,IFSC Climbing Worldcup (L) - Kazo (JPN) 2007
MILLET,68,IFSC Climbing Worldcup (L) - Valence (FRA) 2007
